OBJECTID,FID_grid_25,grid_area,grid_id,FID_sz_1066,ID,AREA,ZONE,TAZ,SNAME,SECT6,SECT8,SECT12,SECT_T,SECT24,SECT50,CLASS2001,CLASS2010,CLASS2020,CLASS2030,HSSECT,DISTRICT,INCCLASS,EMPINC,INCCLASS05,INCCLASS30,EMPINC05,EMPINC30,TOURE,HKSZ,POP2005,POP2030,EMP2005,EMP2030,SECT29,mianji,CODE,_,_1,New_CODE,new_CODE_A,Area_A,codeA,code1112,code_1112,newTAZcode,TAZ_code,newCODE,code2,newCODE1,newTAZ_No,ORIG_ID,NewArea,Shape_Length,Shape_Area,segArea
1,8,3283144.75,7,156,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132411,2034100,0,0,0,0,0,0,0,132411,2122,156,2029880,0.005176389,8.71718E-07,9952.902344
2,9,3294450,8,824,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132413,1717340,0,0,0,0,0,0,0,130420,2081,824,1713900,0.041419293,9.4818E-05,1082610.875
3,43,3325711.75,42,447,8350,13.02175,8350,488,LG403-T1,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,8160,22,107,16,29,24450610.22,22998,160839.9764,0,0,0,24450600,0,0,0,0,0,0,0,229980,6511,447,24374100,0.02797507,4.16618E-05,475259.2813
4,44,3280078.25,43,447,8350,13.02175,8350,488,LG403-T1,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,8160,22,107,16,29,24450610.22,22998,160839.9764,0,0,0,24450600,0,0,0,0,0,0,0,229980,6511,447,24374100,0.049232369,0.000147529,1682947.75
5,44,3280078.25,43,448,8370,2.364538,8370,490,LG403-03,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,2000,245,1800,12706,66,10573,29,13510376.1,22111,163798.2571,0,0,0,13510400,0,0,0,0,0,0,0,221110,6512,448,13468600,0.027294318,3.72436E-05,424847.3125
6,45,3325558.5,44,448,8370,2.364538,8370,490,LG403-03,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,2000,245,1800,12706,66,10573,29,13510376.1,22111,163798.2571,0,0,0,13510400,0,0,0,0,0,0,0,221110,6512,448,13468600,0.030478111,3.01488E-05,343911.9688
7,58,3331757.75,57,156,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132411,2034100,0,0,0,0,0,0,0,132411,2122,156,2029880,0.044491434,7.73538E-05,883137.875
8,58,3331757.75,57,821,3200,1.627554,3200,112,NS004-01-08,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,0,216,14520,8116,37673,5955,3,4205648.642,13231,96449.06684,1,0,132313,527938,0,0,0,0,0,0,0,170770,2078,821,526817,0.015004229,1.20699E-05,137796.0625
9,59,3343230.25,58,156,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132411,2034100,0,0,0,0,0,0,0,132411,2122,156,2029880,0.045943415,8.25655E-05,942610.125
10,59,3343230.25,58,823,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132412,2020770,0,0,0,0,0,0,0,130430,2080,823,2016420,0.036258152,5.24707E-05,599024.75
11,59,3343230.25,58,824,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132413,1717340,0,0,0,0,0,0,0,130420,2081,824,1713900,0.034155145,5.47562E-05,625147.9375
12,59,3343230.25,58,825,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132414,715863,0,0,0,0,0,0,0,131752,2082,825,714360,0.023430426,2.21971E-05,253416.2344
13,60,3366270.25,59,73,3180,2.978327,3180,110,NS003-02-07,3,4,3,5,16,15,67,56,45,34,4,0,0,0,0,0,0,0,3000,215,33110,7079,12354,501,3,7696086.192,13251,98965.1889,0,0,0,7696090,0,0,0,0,0,0,0,132510,2003,73,7678550,0.018988083,1.03842E-05,118547.0781
14,60,3366270.25,59,823,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132412,2020770,0,0,0,0,0,0,0,130430,2080,823,2016420,0.016115811,1.14776E-05,131027.8984
15,60,3366270.25,59,825,3190,2.510845,3190,111,NS004-02-14,3,4,3,6,16,16,46,35,34,34,4,0,0,0,0,0,0,0,2000,216,20680,8277,18054,15383,3,6488075.631,13241,97733.62241,1,0,132414,715863,0,0,0,0,0,0,0,131752,2082,825,714360,0.036000254,4.04436E-05,461715.0625
16,92,3328801,91,447,8350,13.02175,8350,488,LG403-T1,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,8160,22,107,16,29,24450610.22,22998,160839.9764,0,0,0,24450600,0,0,0,0,0,0,0,229980,6511,447,24374100,0.012323651,2.59466E-06,29596.08789
17,93,3374955.75,92,447,8350,13.02175,8350,488,LG403-T1,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,8160,22,107,16,29,24450610.22,22998,160839.9764,0,0,0,24450600,0,0,0,0,0,0,0,229980,6511,447,24374100,0.066394406,0.000212938,2428892.5
18,94,3328646.5,93,447,8350,13.02175,8350,488,LG403-T1,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,0,245,8160,22,107,16,29,24450610.22,22998,160839.9764,0,0,0,24450600,0,0,0,0,0,0,0,229980,6511,447,24374100,0.060498915,0.000165537,1888174.25
19,94,3328646.5,93,448,8370,2.364538,8370,490,LG403-03,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,2000,245,1800,12706,66,10573,29,13510376.1,22111,163798.2571,0,0,0,13510400,0,0,0,0,0,0,0,221110,6512,448,13468600,0.048169813,0.000126287,1440466.625
20,95,3374800.25,94,448,8370,2.364538,8370,490,LG403-03,6,5,12,22,45,50,88,77,66,55,5,0,0,0,0,0,0,0,2000,245,1800,12706,66,10573,29,13510376.1,22111,163798.2571,0,0,0,13510400,0,0,0,0,0,0,0,221110,6512,448,13468600,0.066629227,0.000187725,2141225
