OBJECTID,FID_sz_1066,ID,AREA,ZONE,TAZ,SNAME,SECT6,SECT8,SECT12,SECT_T,SECT24,SECT50,CLASS2001,CLASS2010,CLASS2020,CLASS2030,HSSECT,DISTRICT,INCCLASS,EMPINC,INCCLASS05,INCCLASS30,EMPINC05,EMPINC30,TOURE,HKSZ,POP2005,POP2030,EMP2005,EMP2030,SECT29,mianji,CODE,_,_1,New_CODE,new_CODE_A,Area_A,codeA,code1112,code_1112,newTAZcode,TAZ_code,newCODE,code2,newCODE1,newTAZ_No,ORIG_ID,NewArea,FID_GRID_TAZ_50_100,grid_id,Grid_Area,Shape_Length,Shape_Area,segArea
1,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,3759,3759,829448.6761,0.005575066,1.23773E-06,14093.7041
2,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,3858,3858,829410.0326,0.020172732,1.62139E-05,184613.0938
3,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,3859,3859,829399.5863,0.024478575,2.2776E-05,259335.8594
4,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,3957,3957,829371.4023,0.003899128,6.0575E-07,6896.794434
5,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,3958,3958,829360.9239,0.031088243,5.80405E-05,660835.25
6,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,3959,3959,829350.4795,0.032289669,6.76187E-05,769886.4375
7,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,3960,3960,829340.069,0.020954283,1.70334E-05,193933.5
8,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4057,4057,829322.2747,0.016809353,1.49871E-05,170631.6563
9,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4058,4058,829311.7982,0.033877144,5.58424E-05,635773.8125
10,0,7750,6.655362,7750,428,LG204-T1,6,6,10,20,40,43,88,77,66,55,6,0,0,0,0,0,0,0,0,240,32871,105,89,185,25,17198809.91,20992,138790.6421,0,0,0,16841400,0,0,0,0,0,0,0,209920,3501,0,16678100,4059,4059,829301.3557,0.034160001,7.28416E-05,829301.4375
