OBJECTID,FID_GRID_TAZ_50_100,grid_id,Grid_Area,FID_amap_TAZ_district_adjust,FID_1,TAZ,NO,FID_2,ID,SNAME,area,code,ORIG_FID,Distance,NewArea,Shape_Length,Shape_Area,segArea
1,16,16,831736.1895,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.018255,1.97789E-05,225839.4844
2,17,17,831724.2348,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.011191612,5.27625E-06,60244.67578
3,85,85,830991.57,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.015310474,1.07772E-05,122946.5547
4,86,86,830981.9745,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.024042633,2.55011E-05,290916.8438
5,87,87,830972.413,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.018719423,1.12938E-05,128838.9922
6,115,115,831699.6299,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.006869419,1.74657E-06,19941.57227
7,116,116,831687.6431,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.024862236,3.0036E-05,342942.9688
8,117,117,831675.6906,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.025608777,4.13353E-05,471950.25
9,185,185,830943.1563,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.030001945,5.6413E-05,643534.125
10,186,186,830933.5625,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.03416,7.28416E-05,830933.5625
11,187,187,830924.0027,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.034348571,7.06963E-05,806452.5
12,188,188,830914.4771,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.018448259,1.36712E-05,155948.4531
13,215,215,831651.0644,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.026462064,3.80705E-05,434658.625
14,216,216,831639.0798,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.02983192,3.31886E-05,378914.5625
15,217,217,831627.1293,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.03620257,5.03393E-05,574721
16,218,218,831615.2131,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.016240784,1.4245E-05,162628.7656
17,283,283,830914.0123,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.006433985,1.40853E-06,16066.88086
18,284,284,830904.3519,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.022569634,1.76232E-05,201027.1406
19,285,285,830894.7256,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.033469626,6.20062E-05,707297.125
20,286,286,830885.1334,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.034159998,7.28416E-05,830885
21,287,287,830875.5754,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.033148976,7.10966E-05,810969.9375
22,287,287,830875.5754,478,23,938,335,478,8370,LG403-03,6110457.98,837,478,0,6023520,0.006550131,1.74498E-06,19903.7832
23,288,288,830866.0515,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.02947041,4.25892E-05,485796.6563
24,288,288,830866.0515,478,23,938,335,478,8370,LG403-03,6110457.98,837,478,0,6023520,0.022137689,2.30609E-05,263040.4063
25,289,289,830856.5617,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.007720529,2.61875E-06,29870.49609
26,289,289,830856.5617,478,23,938,335,478,8370,LG403-03,6110457.98,837,478,0,6023520,0.000266819,2.75833E-09,31.46232796
27,314,314,831614.4986,98,222,310,40,98,3200,NS004-01-08,4205648.641,320,98,0,4173360,0.010126289,5.30104E-06,60518.94141
28,314,314,831614.4986,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.005571553,1.15892E-06,13231.04004
29,315,315,831602.4819,98,222,310,40,98,3200,NS004-01-08,4205648.641,320,98,0,4173360,0.012523334,8.903E-06,101640.4531
30,315,315,831602.4819,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.031717239,3.80088E-05,433932.625
31,316,316,831590.4994,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.038162405,5.44639E-05,621784.5
32,317,317,831578.5511,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.034160001,7.28416E-05,831578.625
33,318,318,831566.637,95,228,309,39,95,3180,NS003-02-07,7696086.191,318,95,0,7643500,0.016916654,9.81734E-06,112074.1563
34,318,318,831566.637,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.033998699,4.08805E-05,466695.6875
35,319,319,831554.7571,95,228,309,39,95,3180,NS003-02-07,7696086.191,318,95,0,7643500,0.01243189,2.7275E-06,31136.35352
36,383,383,830865.5611,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.021648316,1.82274E-05,207909.7344
37,384,384,830855.9024,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.034160001,7.28416E-05,830856
38,385,385,830846.2779,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.034160001,7.28416E-05,830846.375
39,386,386,830836.6874,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.03416,7.28416E-05,830836.6875
40,387,387,830827.1311,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.042604144,5.10177E-05,581907.25
41,387,387,830827.1311,478,23,938,335,478,8370,LG403-03,6110457.98,837,478,0,6023520,0.028199713,2.18239E-05,248921.2188
42,388,388,830817.6089,478,23,938,335,478,8370,LG403-03,6110457.98,837,478,0,6023520,0.032722457,6.80655E-05,776343
43,389,389,830808.1208,478,23,938,335,478,8370,LG403-03,6110457.98,837,478,0,6023520,0.018532082,1.42208E-05,162196.3906
44,391,391,830789.2469,478,23,938,335,478,8370,LG403-03,6110457.98,837,478,0,6023520,4.6317E-05,6.44203E-11,0.734717786
45,391,391,830789.2469,479,29,936,333,479,8380,LG403-04,2333205.984,838,479,0,2303590,0.004728313,6.0785E-07,6932.608398
46,392,392,830779.8611,479,29,936,333,479,8380,LG403-04,2333205.984,838,479,0,2303590,0.009753617,3.97473E-06,45332.22266
47,414,414,831565.8969,98,222,310,40,98,3200,NS004-01-08,4205648.641,320,98,0,4173360,0.025664956,3.28151E-05,374618.0938
48,415,415,831553.8823,98,222,310,40,98,3200,NS004-01-08,4205648.641,320,98,0,4173360,0.032810805,6.31355E-05,720750.5625
49,415,415,831553.8823,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.015507246,9.51302E-06,108601.8594
50,416,416,831541.9019,98,222,310,40,98,3200,NS004-01-08,4205648.641,320,98,0,4173360,0.024019349,2.25586E-05,257521.2344
51,416,416,831541.9019,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.03393777,5.0283E-05,574019.0625
52,417,417,831529.9557,95,228,309,39,95,3180,NS003-02-07,7696086.191,318,95,0,7643500,0.021850732,1.8545E-05,211698.8438
53,417,417,831529.9557,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.030457857,5.42966E-05,619828.4375
54,418,418,831518.0438,95,228,309,39,95,3180,NS003-02-07,7696086.191,318,95,0,7643500,0.034134089,6.75342E-05,770932.625
55,418,418,831518.0438,97,144,1081,417,97,3150, ,1076511.608,315,97,0,1069620,0.010419859,2.00492E-06,22886.83594
56,418,418,831518.0438,100,229,311,41,100,3190,NS004-02-14,6488075.631,319,100,0,6439580,0.008022212,3.30253E-06,37700.84766
57,419,419,831506.1661,95,228,309,39,95,3180,NS003-02-07,7696086.191,318,95,0,7643500,0.010197713,2.2304E-06,25461.18164
58,419,419,831506.1661,97,144,1081,417,97,3150, ,1076511.608,315,97,0,1069620,0.034862047,4.96815E-05,567126.5
59,420,420,831494.3226,97,144,1081,417,97,3150, ,1076511.608,315,97,0,1069620,0.010545057,2.27834E-06,26007.2793
60,420,420,831494.3226,99,146,1083,419,99,3160, ,1504707.775,316,99,0,1496330,0.025131214,1.24636E-05,142271.9531
61,421,421,831482.5133,99,146,1083,419,99,3160, ,1504707.775,316,99,0,1496330,0.029598357,5.03033E-05,574207.75
62,422,422,831470.7382,99,146,1083,419,99,3160, ,1504707.775,316,99,0,1496330,0.01691605,1.38718E-05,158341.875
63,483,483,830817.0929,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.019705042,1.06623E-05,121610.5859
64,484,484,830807.4359,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.034345543,7.25992E-05,828043.25
65,485,485,830797.8131,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.03416,7.28416E-05,830797.8125
66,486,486,830788.2243,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.034159998,7.28416E-05,830788.125
67,487,487,830778.6697,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.03915514,4.85633E-05,553876.3125
68,487,487,830778.6697,478,23,938,335,478,8370,LG403-03,6110457.98,837,478,0,6023520,0.030051297,2.42783E-05,276899.625
69,488,488,830769.1492,477,15,937,334,477,8350,LG403-T1,33650709.83,835,477,0,33249100,0.004745872,2.18869E-07,2496.215332
